state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,SC workers against active workers,ST workers against active workers,Approved Labour Budget,Persondays of Central Liability so far,SC persondays,ST persondays,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,% of NRM Expenditure(Public + Individual),% of Category B Works,% of Expenditure on Agriculture & Agriculture Allied Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
MADHYA PRADESH,KHARGONE 10125,318312,145643,83179,111820,29073,174227,8769337,1389672,171911,637447,1476918,41,206.61369,31,46364,98750,1255,2,15609,33207,9696,61.55976,69,36.6443,2510.88774,5082.38528,811.63225,130.7943
MEGHALAYA,EAST NORTH GARO HILLS,37526,179050,42620,91606,348,44163,1048820,1925338,3772,1640309,166319,33,260.70155,150,29484,29250,87,42,5798,18279,561,12.07973,45,54.97832,12620.23986,994.2011,1136.41235,318.91234
KARNATAKA,WEST DAKSHINA KANNADA,245377,454522,33519,140581,80001,131253,5684587,2287607,1489723,36578,959953,33,309.12576,74,67733,109677,377,0,20222,34950,3427,26.76335,87,35.21933,7766.29914,4554.80676,3785.78681,99.86713
UTTAR PRADESH,BUDAUN 11554,318268,20788,45587,232937,18415,1628,2815592,171065,434789,11864,1295453,27,216.88533,571,65776,56403,7,8,12463,14288,1253,29.0145,46,48.93244,6086.61403,7572.07404,399.21333,33.85413
BIHAR,PURBI CHAMPARAN 10144,512099,613745,216114,109014,44122,10311,7277463,5571287,726202,88227,982290,37,246.11481,139,66239,121681,168,0,14914,11745,6501,15.2313,72,70.23945,5610.69435,12572.25941,3667.28924,86.07181
UTTAR PRADESH,HATHRAS GANJ,144007,397428,51870,331514,67940,573,3063331,2614997,421028,2682,673179,29,251.54374,274,106592,71645,32,17,15486,19463,0,29.51007,55,33.66502,18394.37396,9398.32173,4705.50197,85.13447
PUNJAB,RURAL MALERKOTLA,77127,95129,31089,86659,82445,21,1563123,659020,758505,268,321093,26,331.63505,26,24842,14434,48,258,2993,9309,559,7.87859,19,51.05824,1914.0204,2378.06096,2095.70052,0.0
MEGHALAYA,NORTH GARO HILLS 10278,39672,36208,50419,88230,0,88480,2266242,506797,4,473972,336526,35,281.37919,12,24035,53666,126,120,5257,5037,240,10.81532,35,15.86749,4548.57398,838.08754,437.23698,43.56327
ASSAM,HAILAKANDI 10708,426026,226109,192631,263231,16191,2337,2700945,385019,198230,10269,833977,28,233.89543,40,14200,76231,44,0,33247,49406,9533,10.35561,97,27.38161,6211.37167,1378.57078,611.18568,0.0
KARNATAKA,RURAL KOPPAL,210385,915997,147397,229092,62404,87254,3404035,3464462,1373745,91193,1008890,23,335.30825,157,72937,112352,148,0,58219,60918,29551,10.14994,80,42.93811,7200.50429,3810.28115,333.07018,66.25503
ARUNACHAL PRADESH,UPPER SIANG 10308,11002,38408,31858,9904,2,15294,550974,353996,0,47052,59101,15,254.01965,0,2436,4543,0,9,782,134,19,6.12032,73,106.59182,139.35627,558.79861,279.57617,9.30158
UTTAR PRADESH,BALLIA 10945,329461,380867,144579,11598,84295,1519,3741088,178729,1294143,149042,2088440,29,207.57189,785,38090,80573,186,1,17382,14772,10633,30.34106,60,39.05172,7397.94361,4959.123,1125.16571,12.76984
KARNATAKA,CHIKKAMAGALURU 10264,244698,463934,141458,356311,76999,5554,3124051,2882070,352134,27627,481008,31,329.04242,212,52665,42499,388,0,105488,43558,4635,27.58941,55,51.9641,9232.62906,10639.88628,53.72899,252.05404
ANDHRA PRADESH,NANDYAL PURAM,136083,334109,193417,382409,133087,9416,11545717,8718038,1337668,430258,1497870,45,212.64693,2253,311719,219449,1422,13,40305,55607,6183,67.00729,59,68.76327,21330.67096,21641.02289,3960.58877,547.08508
WEST BENGAL,RURAL PURULIA,648173,515435,79902,1102433,5565,100435,0,40637,0,0,19023,0,0.0,0,251,16,0,67,25638,88983,560,4.49973,54,0.47085,175.3939,0.0,0.0,148.346
KARNATAKA,Yadgir 10066,190305,378399,137040,67443,78503,92283,1803810,2211309,381305,21135,335045,30,300.04036,104,73286,145359,948,0,48084,50302,13155,30.63128,72,21.96564,6593.99328,7835.52426,62.38346,135.30653
MADHYA PRADESH,EAST DAMOH,216126,319931,199602,229401,11499,258107,1311949,3729616,215530,1068620,1993172,32,216.36996,146,163299,19824,314,1,8484,6610,7241,43.94267,84,31.00403,2503.10524,4079.34391,607.59932,248.63822
UTTAR PRADESH,MAINPURI ABAD,169973,289356,180351,1293,217576,177,5165869,3217,519041,43322,132633,45,250.27866,173,79670,168309,456,3,21846,14304,5187,26.94737,46,18.25788,2386.39859,7231.2851,8422.55788,71.95277
JHARKHAND,KODERMA 10036,128386,293078,220056,234634,5181,47125,2205912,1743160,37598,296051,1275830,33,262.81717,454,81792,66592,70,0,49210,32730,5771,1.76315,96,93.35228,6233.70101,2084.49035,587.31636,165.04517
ANDHRA PRADESH,KONASEEMA VARI,260242,228792,166195,546025,64698,2444,7534509,1292451,93258,319224,5185436,52,252.10282,922,196988,196253,2302,4,26927,46779,6983,17.60455,59,33.34184,27500.51495,16323.39739,4388.55662,253.21867
BIHAR,CENTRAL MUZAFFARPUR,400665,520779,255032,288656,32583,8335,5415032,1880569,729779,45936,1651899,29,260.45394,161,56210,136846,137,8,24378,30019,6025,8.00158,91,24.22129,8346.8995,4298.61113,1933.04995,54.53534
ASSAM,BAKSA 10314,147138,149802,80330,208139,1865,36567,2364031,1092394,49828,1378852,859978,22,231.60039,159,73444,23474,54,0,61926,20825,2061,2.62956,85,27.7123,429.09236,4954.47526,320.08204,0.0
ASSAM,GREATER KAMRUP,278079,562431,111469,296240,18109,2363,2109783,689526,140539,154907,967595,26,257.66019,57,94254,75795,26,0,18157,19507,10112,17.42874,99,31.31186,2155.38078,4774.52862,769.47428,0.0
ANDHRA PRADESH,RURAL ELURU,357207,553525,381529,546004,49563,4776,7118736,6885526,1618942,362247,3037283,53,268.21248,12624,168222,336618,2408,16,39010,46419,5827,17.25834,31,10.25844,28522.02175,12139.05786,9054.09602,406.31353
MAHARASHTRA,LATUR 10254,472246,817835,59447,146379,41028,43123,2353319,162764,261903,54031,184562,30,303.97276,117,85628,134783,760,52,37514,21244,2049,26.7617,99,71.638,6145.36798,340.21265,1243.0156,76.87088
UTTAR PRADESH,URBAN AYODHYA,344340,267681,204575,107298,78145,1568,838512,1918731,381204,2185,1315214,48,244.7336,599,37586,66364,101,1,29288,21619,6820,23.51393,54,45.37654,4884.76186,3746.70344,1438.29138,198.79253
JAMMU AND KASHMIR,UPPER ANANTNAG,67889,76904,28781,202037,16345,4803,577023,44712,38,50375,173818,18,286.62494,71,22020,5442,54,9,6341,36255,1001,5.82839,49,31.43968,2405.28226,1003.37554,65.96365,9.62782
TELANGANA,WEST Nagarkurnool,113632,286289,76722,186172,58117,18317,1973887,2244177,402788,868881,505632,40,184.58066,345,48184,56813,297,0,5755,16506,2814,48.55283,41,23.99304,5503.68356,6981.15771,5139.77724,253.08238
BIHAR,URBAN SARAN,525437,656048,187965,402559,82261,31923,3999775,2658746,298747,41942,1106684,30,229.69132,39,35705,127360,121,5,18481,15890,15783,29.93642,64,57.6837,6587.87948,9791.30567,5267.61047,102.52168
ASSAM,BARPETA 10832,149390,139923,142649,338203,16198,423,2749026,204492,85929,116764,1501530,41,234.37207,173,67736,61894,340,0,47553,20068,5799,3.24626,87,37.98099,1955.75444,4914.89499,91.67266,0.0
KARNATAKA,RURAL MANDYA,354325,221723,155408,268077,95895,5764,3011624,2647344,52387,289729,462909,29,338.40969,169,1063,93814,1427,0,19940,23226,13096,29.35267,82,45.70635,11260.77145,6322.40735,3734.05168,370.89984
ODISHA,DEOGARH PADA,195384,536550,429255,483671,65793,290681,11451988,5426385,304646,7858,721731,36,253.79837,972,112643,77290,3237,0,42140,18992,2240,20.61583,59,38.8882,7796.17614,2446.37639,975.02602,123.99477
UTTAR PRADESH,SHRAVASTI 11681,276607,195525,116396,310645,124719,183,2548651,2160420,703066,1093,407289,33,227.09598,175,64568,8,37,8,42100,16069,13317,14.87707,68,51.1108,4338.54829,13301.2475,2056.16277,48.10275
JAMMU AND KASHMIR,KATHUA 10461,66559,92043,103324,95786,5304,5236,1779314,94582,0,21238,111491,28,331.13685,1,7486,7060,16,0,1666,7091,1342,9.63303,20,32.67804,589.83031,1036.91286,2474.91011,65.61124
TAMIL NADU,NAGAPATTINAM PATTI,455591,173260,172122,128747,65167,22965,5290811,5092989,3564300,230738,7904766,31,237.15905,1615,162209,23855,1636,0,16058,7083,9549,86.56053,46,57.588,34746.27346,6830.33089,4282.96468,704.29523
MEGHALAYA,NEW NORTH GARO HILLS,50230,43151,41763,70897,68,135702,2706342,742876,0,785721,601014,31,246.39583,0,36452,12564,121,120,5398,3671,21,29.17407,55,21.7816,6958.91065,2436.28179,446.78023,41.01807
UTTAR PRADESH,AMROHA 11227,116702,203960,198676,95823,62456,209,934682,1457668,522843,50470,1027003,41,225.75925,41,45209,72010,178,3,46710,25553,2120,37.51708,54,27.88473,4600.47209,18812.76473,2195.67298,362.73501
ODISHA,KENDRAPARA 10426,300526,403051,97323,161803,114223,46614,18776435,4915876,571235,1566960,2737348,29,233.61422,1364,24283,104451,726,0,22243,16297,306,58.3587,52,39.62122,19723.38837,5779.18466,426.01218,107.05923
MADHYA PRADESH,NARMADAPURAM 11223,155514,281434,195093,114243,63445,141331,3412651,310965,135687,282298,233870,29,226.67007,106,78182,34188,426,0,21309,10366,2395,40.22588,71,25.48969,5288.9475,5080.34371,3929.14371,242.32036
RAJASTHAN,SAWAI MADHOPUR 10325,262460,683309,202988,407460,196086,5019,2407281,5637570,477952,7343574,1148103,29,195.21161,86,90087,166350,391,0,38631,15825,921,43.85153,79,27.66252,5446.51724,3664.86447,244.86781,45.39921
MAHARASHTRA,WASHIM 10322,368960,355111,153762,351282,9458,981,2807534,2360064,244854,21870,90392,24,340.39033,3036,6691,126386,115,14,15618,20830,477,1.34514,88,29.01247,3016.00012,520.17715,726.61406,8.24978
RAJASTHAN,BHARATPUR GARH,214133,328539,442490,527111,118507,58067,5354012,1903458,809692,546002,2586109,40,188.01405,131,99889,133948,287,1,12995,25607,1156,39.82449,56,14.27906,23753.8469,1710.97284,1560.71454,75.04492
UTTAR PRADESH,BAREILLY 11570,514067,301076,90459,288412,5030,19634,949365,6578384,346813,15303,1605827,40,215.2431,15,55964,28514,276,11,20930,24183,4202,16.433,63,49.03905,11789.58235,2927.11672,1340.00845,202.06875
MANIPUR,BISHNUPUR 10202,21958,16420,38905,76231,12790,1280,2885471,145015,4,0,91920,0,1604.81186,0,6045,12071,2,425,1785,1626,35,15.23272,0,1.69826,309.67029,56.94682,173.99593,77.458
MAHARASHTRA,HINGOLI NAGAR,541124,1113878,58734,100047,12340,276,3006132,208506,104793,24034,197411,29,300.69005,1327,24908,91928,80,9,41888,22021,2227,1.32887,98,67.7153,7710.72047,6292.54607,170.04727,76.01029
JAMMU AND KASHMIR,ANANTNAG VALLEY,68568,79213,58168,85086,2131,4213,1025954,167861,110,19310,46434,24,245.93754,0,5287,7120,16,8,17567,16134,1446,8.8403,21,24.47808,2839.56331,2402.08015,855.90406,62.79301
PUNJAB,AMRITSAR 10460,110912,119943,74166,219686,70552,5,417980,947277,267980,0,905636,26,291.22433,46,51168,32476,17,100,5368,8348,601,5.99398,41,44.31356,3486.98219,2081.99186,611.83547,0.0
TELANGANA,RURAL Mulugu,163351,464430,107013,318365,43493,95186,3874915,4459430,855170,996271,1083846,35,190.6367,9,66166,62475,639,0,28038,1330,2049,53.51901,18,44.02549,6336.44569,8280.41145,3638.50128,344.39919
UTTARAKHAND,NORTH CHAMOLI,62665,166908,33176,63148,17207,650,1758017,590310,78960,1468,327671,28,240.96725,400,21009,24643,89,5,17621,7902,4009,19.43385,37,35.68484,1028.33287,2599.00968,202.84191,56.18984
GUJARAT,RAJKOT 10760,259091,467178,64611,168026,3797,63,327742,1259411,5767,1682,173628,48,234.81881,78,3594,7198,545,113,22030,16717,129,11.9262,67,5.25958,1589.52778,713.70689,151.56112,80.5838
ASSAM,SIVASAGAR 10709,231703,453404,115900,64776,16255,2839,2645371,893607,12082,172590,669513,32,240.74632,3,6612,49496,33,0,31006,15444,2045,5.56023,88,31.148,1300.69866,5179.22589,329.62882,0.0
PUNJAB,MUKATSAR 10409,33959,87430,31110,44700,37907,13,753182,374488,780109,279,506467,24,336.75231,44,28958,46170,48,8,5249,1192,89,12.33583,19,24.55243,2070.57602,2598.13466,700.01011,0.0
MADHYA PRADESH,PANNA 10637,90344,105083,75971,77637,44064,74771,1757437,4159753,86344,856197,680749,34,229.76423,17,176725,71182,133,0,27193,12713,6652,34.32508,66,18.82208,1124.31376,679.61406,5893.58681,184.38157
MADHYA PRADESH,NEEMUCH 10674,157299,420192,45436,401944,44833,36265,5299187,4016697,126055,161363,633311,35,244.99034,183,55684,53094,933,1,14454,17086,3641,43.10668,77,34.22877,6765.44969,4834.70325,960.50224,512.5606
UTTAR PRADESH,WEST BAHRAICH,123059,62873,110399,505614,75210,1404,2596535,158459,400830,1189,132479,28,227.21767,3068,188167,64220,0,10,25110,20229,1137,31.71376,50,29.5698,6255.78077,4213.94891,1959.36252,219.71813
MIZORAM,GREATER SERCHHIP,17443,35011,19282,25367,0,8698,1628045,670082,0,904201,556495,30,329.20368,0,17013,27120,1,0,1780,611,1073,5.52599,67,59.59009,5271.26496,738.31403,634.78947,21.82878
ODISHA,PURI 10092,158477,218921,395117,220673,128474,10879,3437115,963842,548013,1210879,916072,37,239.09851,6796,77552,34999,348,0,19801,25009,1869,31.11658,56,38.56794,12420.86414,4179.00434,3371.53788,207.1853
WEST BENGAL,OLD ALIPURDUAR,704072,1587893,559101,830425,447513,69114,0,18,2518,0,713,0,250.69581,0,0,603,2,77,93224,21625,67,0.05471,71,5.22849,546.87607,0.0,0.0,285.72923
RAJASTHAN,RURAL UDAIPUR,691431,704233,287150,258430,60045,586608,3048078,16722364,654059,275311,5287799,32,187.05857,91,91133,205366,603,4,9944,10231,6718,42.53164,53,45.17388,7536.36485,6028.04026,639.00413,74.67238
ANDHRA PRADESH,KAKINADA 10122,267748,576200,383107,467075,87088,19996,5417842,6932495,1148058,369076,3819566,43,259.32756,900,89121,162963,2781,3,35746,33686,12680,49.7572,43,59.69158,13701.78398,19783.02528,4807.18,1101.87036
ASSAM,CHIRANG 10373,246977,348166,120652,57665,10929,2085,2846281,223852,284937,566961,281454,35,263.67185,11,83211,107466,19,0,19033,19835,2306,1.6916,83,15.45628,2423.28593,6029.90008,327.69575,0.0
ANDHRA PRADESH,OLD ANNAMAYYA,145084,473039,270963,347080,122938,17724,7798841,9409599,887607,8196971,5610866,45,260.26762,1655,268488,219896,2192,3,67493,42923,6972,72.66598,43,83.13637,40866.60036,25576.58929,7474.57131,376.77625
UTTAR PRADESH,MATHURA,98150,503734,33324,98748,121492,1012,3386488,2134779,817735,1085,569296,35,225.84676,247,111981,40524,211,9,19758,13947,6024,17.92414,16,61.94079,4173.33504,2570.70741,2348.51453,64.38876
RAJASTHAN,BHILWARA 10521,354545,1366487,307462,528411,127171,65476,4347767,8896157,2733401,12369567,2293156,22,185.29327,155,178765,97343,754,0,31638,6550,2745,28.92857,31,18.92278,5886.02611,5190.25311,1172.37911,98.99733
RAJASTHAN,KOTA 10380,470175,574874,120926,822502,108162,104833,5339497,5624351,314463,602468,6096348,26,195.47346,121,65014,124417,288,0,58296,30542,1068,19.45764,47,19.33259,3307.65017,1988.61276,599.27947,225.83982
UTTARAKHAND,HARIDWAR 10274,89772,202671,30245,125213,19563,351,882183,1092342,240703,12883,345057,43,212.14888,200,36815,34688,277,22,9167,14311,2783,17.17014,49,37.61369,1618.62553,1624.8088,612.52926,37.92607
BIHAR,KISHANGANJ 10444,370141,454800,269254,394323,35631,2067,2058988,1977019,254142,49773,1119649,28,217.31433,72,123659,160190,86,3,44994,10196,14981,50.83154,63,69.35425,6886.14665,10981.24254,3372.72721,61.05798
ANDHRA PRADESH,PRAKASAM 10241,399227,230741,372760,440815,124781,30302,15397066,6983743,1132331,490830,2173950,33,239.39439,1870,259627,432619,3596,3,22424,32670,7662,27.36047,76,14.6259,23295.27741,16705.35902,5779.45411,944.08772
NAGALAND,MON 10069,39912,69947,57337,86046,0,147429,1025253,707688,0,2048128,561266,40,227.98996,0,22308,68263,120,1,793,961,43,17.63733,6,46.5709,4555.71542,2734.94894,865.9795,31.91046
UTTAR PRADESH,RURAL SHRAVASTI,152342,469567,199648,272847,131279,0,4314026,3217751,411794,2397,1053485,42,250.08298,162,41838,34398,163,33,43614,15272,7365,13.48352,52,25.58989,11393.05627,348.51096,12223.8669,0.0
TELANGANA,WEST Sangareddy,409931,393512,102959,181019,32518,31811,1622807,1199617,717244,242628,894016,30,190.30744,175,40826,101046,899,0,14497,17442,442,13.35472,26,75.6703,12598.26088,3030.53282,6369.50276,229.02798
TELANGANA,CENTRAL Jayashanker Bhopalapally,234389,366791,8376,275382,54700,4732,1500578,1994490,374478,142967,956840,36,169.67393,430,71608,188916,925,0,32568,7810,1377,30.02813,21,24.9502,6847.0984,5957.74997,6016.1291,229.99553
JHARKHAND,KODERMA 10183,171551,462548,138672,173347,20479,33423,5372796,2339867,430833,828077,404983,30,253.79075,461,56252,25910,226,1,54222,32390,13412,15.91169,89,39.70937,16632.5453,4534.5235,1763.57209,117.11992
JAMMU AND KASHMIR,RURAL BADGAM,104861,147924,53989,82799,52,892,545428,156203,34144,7290,12672,25,351.18602,5,14821,10854,57,23,1736,15503,1711,25.10837,71,16.26848,1755.13691,497.64363,257.95202,69.82149
BIHAR,PURNIA 10460,389610,353639,295694,401354,90647,5317,1495077,4174580,364437,34510,1855852,38,259.1827,104,189575,121346,247,8,25314,20321,6730,10.51669,57,25.31432,13469.50251,6838.0343,9591.27813,44.17959
UTTAR PRADESH,NEW AMBEDKAR NAGAR,456404,366045,167547,68990,15595,532,4676564,1868058,1729190,8526,2147799,37,238.06581,177,7,74848,249,3,18712,22896,8009,16.95179,30,43.38214,8791.28568,13996.62164,1348.30114,316.77037
GUJARAT,ARVALLI NAGAR,268825,172653,49680,36362,3569,593,421529,365629,5801,321,158007,46,203.70887,335,8820,197238,121,11,1466,1998,5519,2.54301,84,45.35535,1184.23028,1064.57918,35.88044,69.65776
UTTAR PRADESH,HAMIRPUR 10668,380814,473222,192482,24783,74653,15,3128495,4111792,1403912,2619,600178,44,236.74924,781,101969,73435,489,36,24697,35411,2012,4.68422,25,35.19156,4170.32809,4872.68343,2904.99382,125.29938
RAJASTHAN,WEST BANSWARA,172575,1453848,209125,268148,83937,25117,4686288,11146238,761791,11500508,2613169,35,226.71945,1162,126056,268577,501,1,16635,10560,160,65.26208,91,58.01282,2386.75185,11399.22707,1711.88171,147.28344
MADHYA PRADESH,NORTH SHAHDOL,48523,217051,149351,274837,55780,19339,4448449,1222221,55948,721592,284547,34,208.18618,31,66523,57334,3481,0,22260,9042,6926,60.40654,62,25.69365,2700.43573,3445.04626,630.76179,359.73338
ARUNACHAL PRADESH,UPPER DIBANG VALLEY 10438,9729,8077,13357,14397,6,9400,262547,56084,0,685903,42511,35,204.58445,1,13134,3259,0,4,815,612,126,0.0,0,27.50793,685.50963,125.01017,161.49479,4.85429
HARYANA,MEWAT 10359,60173,76191,65349,129577,10041,0,156285,306448,234143,0,41011,20,425.9352,0,16988,16768,1,6,417,3081,105,13.53338,48,81.76002,9.31484,10.7037,1502.1041,8.10986
MADHYA PRADESH,GREATER NARMADAPURAM,230802,98507,112619,468279,25875,56238,1513153,1489034,209217,620746,260483,29,200.5472,159,25891,35271,151,0,15414,28589,17708,46.2304,77,34.63718,11246.82249,8236.11713,643.40929,279.27957
NAGALAND,LONGLENG 10267,23230,56858,31573,73097,0,135334,1242044,642448,0,1746180,826551,38,209.21953,0,29638,72148,120,1,463,589,198,8.32272,1,101.22657,5783.95091,2806.85719,1865.29178,29.45561
MEGHALAYA,East Jaintia Hills 10130,52585,104924,54496,94321,49,65440,1371563,752570,3208,385512,995406,24,274.06328,43,15379,16079,24,129,5858,4470,1917,20.54213,43,19.41867,12189.09604,1067.83204,846.52249,44.92375
GUJARAT,ANAND 10274,130584,201616,22827,572989,2079,536,392371,95698,27541,29852,114961,43,226.43436,205,6178,20160,352,24,4597,2002,297,14.13698,76,42.75979,1290.56506,2468.11858,511.07267,42.31409
ODISHA,BALESHWAR 10157,279537,350855,203682,597366,14426,13893,1881332,1347921,317598,7575,735481,32,223.58895,531,105283,156972,152,0,20689,22349,789,42.67489,43,38.1106,4038.47077,3622.0206,584.98778,141.45963
MEGHALAYA,EAST KHASI HILLS 10246,39367,41137,24229,100127,4893,180373,1656488,398245,0,254282,395851,30,264.20881,147,23532,48032,10,10,9794,6115,578,5.35608,41,24.94162,1082.15223,963.23135,2429.10966,102.41966
CHHATTISGARH,BALOD 10329,125392,228602,99894,280790,2408,82624,3600792,595830,171241,932064,975230,24,219.50173,638,91771,75038,60,0,11313,5801,2017,26.43222,46,48.50837,4748.28359,3563.01824,2212.90343,408.02486
KARNATAKA,Yadgir 10640,414178,832112,27982,551550,11645,7051,2857069,7990594,366389,63049,888135,31,330.90477,1465,69736,80103,38,1,36405,51769,11895,37.65612,64,15.65482,11018.9064,8222.46782,3061.66863,143.04257
TAMIL NADU,NORTH TIRUVALLUR,457596,207916,97626,231036,185129,16,3424578,5814476,176882,69635,6621315,40,259.68892,1205,169677,133525,12331,0,26869,1403,1594,64.24482,57,35.93339,13055.21997,11527.33352,1089.40811,356.13845
ASSAM,UPPER NAGAON,280636,103567,157661,362190,3616,638,1875030,2512038,66497,468579,1022695,26,251.29428,174,66383,10971,24,0,28757,12745,24519,0.5756,85,13.764,1297.42142,2686.16169,81.72075,0.0
LADAKH,WEST KARGIL,16948,19691,18616,31305,0,19508,1320108,124250,0,150869,75974,18,230.63023,5,4933,5132,2,1,5087,5006,7684,2.24378,27,66.52935,536.84664,266.66912,470.3054,15.68056
ANDHRA PRADESH,LOWER VISAKHAPATANAM,256055,467951,246705,481899,49856,18470,8374412,8392446,1303788,380147,7961864,45,231.85248,6210,121942,207330,1313,0,65556,35203,7357,15.65309,37,26.43473,22421.95794,19403.31827,6478.38153,804.1655
GUJARAT,EAST ARVALLI,123399,161826,309048,132466,5924,73,695733,905440,12716,588301,567632,31,228.20911,154,4606,44427,8,154,6259,2712,4969,40.19893,66,7.91513,3753.83156,315.82175,976.83281,107.31873
CHHATTISGARH,DANTEWADA 10284,134425,68804,94102,266211,34379,48287,4203531,1458774,9342,267738,1522078,28,231.90584,341,49477,63098,1411,0,10217,12234,1315,51.57856,77,35.91962,10154.38541,4081.96868,1365.72296,241.30046
ODISHA,SUNDARGARH 10637,466252,337732,176434,171822,71957,1583,4442989,4512819,838209,591184,1012607,33,252.65097,3078,74144,76520,190,0,23234,15746,1696,21.79642,61,47.74309,8111.55158,3425.35934,1514.80038,141.53201
MADHYA PRADESH,WEST CHHATARPUR,201657,367992,93444,80097,43024,144893,4003140,1830286,332510,1123704,912406,25,234.05511,198,47728,16322,775,0,34278,14857,10123,61.18968,75,28.25602,11634.49926,8584.01823,2272.2554,194.87376
MAHARASHTRA,GREATER SATARA,354962,622827,44826,606404,4130,7876,2152860,1285560,3281,93065,76741,23,312.4684,241,40080,10007,122,8,20965,44703,2597,1.33695,81,48.30751,2861.25216,3440.57506,716.73362,116.0741
CHHATTISGARH,RURAL KONDAGAON,178268,397872,89794,179986,15205,68277,1603829,1713033,87666,296553,647057,40,230.69485,712,96593,61366,443,0,11973,5426,3691,33.38254,64,48.84031,4508.1973,7127.41529,1307.37896,119.10036
ANDHRA PRADESH,NANDYAL 10561,404388,413937,205648,285791,138573,6407,6576377,11318826,1800247,8773449,3759226,40,251.74587,4693,202625,309315,2619,1,70386,58846,16443,55.35245,37,29.47465,27901.05232,6999.31454,5022.32502,581.8379
KARNATAKA,HASSAN 10683,85052,566281,164982,148503,60403,6783,710002,3713613,152795,33903,1652569,38,326.49937,92,64742,223767,347,0,64421,47973,43260,16.15627,81,10.3808,12495.3952,8083.0409,24.27736,0.0
ASSAM,DHUBRI 10439,191763,273677,49512,185141,1179,3192,2548057,946929,52716,474608,1240212,24,241.44689,89,35833,86518,294,0,45649,4418,2894,3.24625,86,17.34234,3697.80926,459.30277,77.35328,0.0
ARUNACHAL PRADESH,TAWANG 10254,9883,29033,11118,14872,0,2390,1132322,149091,0,44747,34149,34,32.49795,0,2021,579,0,0,321,84,134,45.42913,0,31.19333,389.42199,458.89803,0.97944,4.09762
UTTAR PRADESH,AMETHI ABAD,292871,552372,268091,88144,96416,194,1826648,1210507,942266,2693,573049,13,235.05586,1936,61140,68499,25,4,51527,17393,3363,42.84162,66,38.13986,23710.5688,14021.08765,3579.16801,77.22788
PUNJAB,JALANDHAR 10488,124549,167545,37666,70692,15016,0,1161405,942436,302755,0,432071,28,305.9712,2,68856,9186,44,68,2001,8097,561,17.67008,37,44.8797,1760.98546,1674.08696,125.47859,0.0
MADHYA PRADESH,MORENA 10497,69427,439255,117000,270239,52313,30655,2175735,4141443,99706,319971,1936899,30,218.56824,242,19384,34209,279,3,21715,4907,7469,44.69456,73,28.56889,12693.76298,923.21923,887.48442,272.04469
PUNJAB,URBAN FARIDKOT,43502,161241,41060,96214,124625,5,1356427,514331,207843,68,108826,30,323.32289,3,34589,15896,172,126,11452,7978,2412,11.23306,27,41.53628,2619.13413,3926.23082,83.06856,0.0
MANIPUR,KAKCHING 10020,40588,72168,47741,29711,32,42847,649743,44495,451,0,5749,7,593.76892,0,12230,11957,28,0,959,490,0,86.99602,0,78.39402,4294.11393,56.43705,651.71659,0.83782
MADHYA PRADESH,SINGRAULI 10153,67136,376368,87272,254037,47922,118495,5685670,611719,84581,804024,551690,34,221.11016,44,95174,70558,78,0,17650,21400,1649,53.24403,66,22.97877,5328.05633,1075.04789,1696.50752,303.88979
JHARKHAND,WEST SIMDEGA,351888,417912,159428,303215,14060,7389,3044713,1973738,334260,487975,1215420,39,256.90638,495,123019,107101,391,0,49313,32381,16817,15.54572,93,91.97192,9010.29126,3987.61526,1429.47085,265.70563
JHARKHAND,JAMTARA 10241,217878,522599,134319,271826,34550,88391,1772310,1800803,53913,878017,1587494,39,241.95818,1019,57146,35634,64,25,47801,25766,19447,3.32755,90,92.10194,6771.02377,4415.20344,1187.77573,163.65602
BIHAR,DARBHANGA,556996,1195057,185227,236799,66232,73,4796554,2290861,185411,2832,1126323,27,239.97262,44,47572,74779,364,36,39874,16718,4531,8.42847,61,38.46483,8896.61453,2748.28472,2879.6791,81.13367
TELANGANA,Rangareddy 10623,97067,291521,80469,165748,43903,5089,1698579,1521541,331010,329498,1250392,38,197.62374,64,103537,230003,1243,0,8280,12056,1875,18.00728,54,29.88789,11622.19287,7141.03848,2683.14675,329.66688
TAMIL NADU,RAMANATHAPURAM 10770,128728,266147,253689,260608,72119,4,1165567,4895103,2338777,743,7845114,37,246.44721,978,108604,299062,601,0,7727,10903,15836,66.30147,41,23.45796,25282.13851,43279.01722,2991.11879,323.11634
JHARKHAND,OLD EAST SINGHBUM,150963,462625,93855,347365,3693,39626,2922564,2108556,78658,410737,1383940,32,238.18759,426,164394,119724,60,0,18876,30294,16517,3.08998,84,77.17432,10096.57001,13728.04703,2067.26375,215.22221
